name,points
And,alp del bet gam
Cap,alp1 bet psi omg 24 zet =272540 del gam iot the alp1
Cas,bet alp gam del eps
CrA,=298348 =298348 =298559 alp =298639 =324808 =324720 =324590
CrB,the bet alp gam=104258 del=104349 eps iot=104529
Cru,alp gam
Cru,bet del
Leo,gam=127320 eta alp the bet del gam=127320 zet mu eps
Ori,kap zet alp
Ori,gam del bet
Ori,zet eps del
Peg,alp bet alp_And gam alp
Sco,del sig alp tau eps mu=295564 zet1=322371 eta the iot1 kap ups lam
Sco,bet sig pi
UMa,del alp bet gam del eps zet eta
UMi,alp del eps zet bet gam eta zet
UMa_Polaris,alp_UMa alp_UMi
UMa_Arcturus,eta_UMa alp_Boo
UMa_Capella,alp_UMa alp_Aur
OriBelt_Sirius,zet_Ori alp_CMa
OriBelt_Aldebaran,del_Ori alp_Tau
SummerTriangle,alp_Lyr alp_Cyg alp_Aql alp_Lyr
WinterCircle,alp_CMa alp_CMi bet_Gem alp_Gem bet_Aur alp_Aur alp_Tau
PegSquare_Fomalhaut,alp_Peg alp_PsA
Cru_alpCen,bet_Cru alp_Cen
Cru_Achernar,alp_Cru alp_Eri
Sirius_Canopus,alp_CMa alp_Car
