ra,dec,m,sp_cl,hd_id,bayer_name,proper_name
1.76779309,-0.29175118,-1.46,A1,48915,alp CMa,Sirius
1.67530519,-0.91971579,-0.72,F0,45348,alp Car,Canopus
3.73352834,0.33479778,-0.04,K1.5,124897,alp Boo,Arcturus
3.83797175,-1.06177590,-0.01,G2,128620,alp Cen,Rigil Kentaurus
4.87356286,0.67690171,0.03,A0,172167,alp Lyr,Vega
1.38182080,0.80281752,0.08,G5,34029,alp Aur,Capella
1.37243239,-0.14314609,0.12,B8,34085,bet Ori,Rigel
2.00408159,0.09119345,0.38,F5,61421,alp CMi,Procyon
0.42636212,-0.99896829,0.46,B3,10144,alp Eri,Achernar
1.54972875,0.12927557,0.5,M1-2,39801,alp Ori,Betelgeuse
3.68187387,-1.05370860,0.61,B1,122451,bet Cen,Hadar
5.19577246,0.15478162,0.77,A7,187642,alp Aql,Altair
1.20392812,0.28813932,0.85,K5,29139,alp Tau,Aldebaran
4.31710099,-0.46132446,0.96,M1.5,148478,alp Sco,Antares
3.51331870,-0.19480299,0.98,B1,116658,alp Vir,Spica
2.03031970,0.48914792,1.14,K0,62509,bet Gem,Pollux
6.01113938,-0.51700531,1.16,A3,216956,alp PsA,Fomalhaut
3.34981043,-1.04176279,1.25,B0.5,111123,bet Cru,Mimosa
5.41676751,0.79028993,1.25,A2,197345,alp Cyg,Deneb
3.25764978,-1.10128821,1.33,B0.5,108248,alp Cru,Acrux
3.83798630,-1.06178075,1.33,K1,128621,alp Cen,Toliman
2.65452216,0.20886743,1.35,B7,87901,alp Leo,Regulus
1.82659615,-0.50566067,1.5,B2,52089,eps CMa,Adhara
3.27757562,-0.99681571,1.63,M3.5,108903,gam Cru,Gacrux
4.59723361,-0.64758503,1.63,B2,158926,lam Sco,Shaula
1.41865452,0.11082356,1.64,B2,35468,gam Ori,Bellatrix
1.42371598,0.49929507,1.65,B7,35497,bet Tau,Elnath
2.41379036,-1.21679507,1.68,A2,80007,bet Car,Miaplacidus
1.46700741,-0.02097789,1.7,B0,37128,eps Ori,Alnilam
3.25769341,-1.10129306,1.73,B1,108249,alp2 Cru,
5.79551123,-0.81962601,1.74,B7,209952,alp Gru,Alnair
3.37733573,0.97668140,1.77,A0,112185,eps UMa,Alioth
2.13599212,-0.82618069,1.78,,68273,gam Vel,Regor
0.89152873,0.87024056,1.79,F5,20902,alp Per,Mirfak
2.89606119,1.07775536,1.79,K0,95689,alp UMa,Dubhe
1.86921127,-0.46065057,1.84,F8,54605,del CMa,Wezen
4.81785777,-0.60012662,1.85,B9.5,169022,eps Sgr,Kaus Australis
2.19262805,-1.03864059,1.86,K3,71129,eps Car,Avior
3.61082442,0.86068003,1.86,B3,120315,eta UMa,Alkaid
4.61342881,-0.75045279,1.87,F1,159532,the Sco,Sargas
1.56873829,0.78448187,1.9,A2,40183,bet Aur,Menkalinan
4.40113132,-1.20476200,1.92,K2,150798,alp TrA,Atria
1.73534451,0.28621945,1.93,A0,47105,gam Gem,Alhena
5.34789972,-0.99021255,1.94,B2,193924,alp Pav,Peacock
2.28945019,-0.95484054,1.96,A1,74956,del Vel,Alsephina
1.66984376,-0.31338841,1.98,B1,44743,bet CMa,Mirzam
1.98356669,0.55655641,1.98,A1,60179,alp Gem,Castor
2.47656403,-0.15112127,1.98,K3,81797,alp Hya,Alphard
0.55489835,0.40949788,2,K2,12929,alp Ari,Hamal
0.66240336,1.55795361,2.02,F7,8890,alp UMi,Polaris
