ra,dec,m,sp_cl,id,bayer_name,proper_name
1.76779098,-0.29175112,-1.5,A0,217626,alp CMa,Sirius
1.67530656,-0.91971336,-0.7,F0,335149,alp Car,Canopus
4.87356519,0.67690253,0,A0,81558,alp Lyr,Vega
3.73352666,0.33479637,0,K0,130442,alp Boo,Arcturus
3.83797066,-1.06177803,0,G0,360911,alp Cen,Rigel Centauri
1.38181738,0.80281703,0.1,G0,47925,alp Aur,Capella
1.37243005,-0.14314599,0.1,B8,187839,bet Ori,Rigel
1.54972925,0.12927726,0.4,M0,149643,alp Ori,Betelgeuse
2.00408253,0.09119374,0.4,F5,153068,alp CMi,Procyon
0.42635862,-0.99896915,0.5,B5,331199,alp Eri,Achernar
3.68187444,-1.05370758,0.6,B1,360515,bet Cen,Adar
5.69058523,0.17235087,0.7,K0,172188,eps Peg,Enif
1.20393080,0.28814120,0.8,K5,120061,alp Tau,Aldebaran
5.19577260,0.15478176,0.8,A5,168779,alp Aql,Altair
4.31710382,-0.46132518,0.9,M0,265579,alp Sco,Antares
3.51331775,-0.19480157,1,B2,227262,alp Vir,Spica
2.03032304,0.48914917,1.1,K0,97924,bet Gem,Pollux
6.01113610,-0.51700579,1.2,A3,274426,alp PsA,Fomalhaut
5.41676874,0.79029143,1.3,A2,60323,alp Cyg,Deneb
2.65452325,0.20886689,1.3,B8,127140,alp Leo,Regulus
3.34981312,-1.04176501,1.3,B1,341305,bet Cru,Mimosa
3.25764766,-1.10128617,1.3,B1,359410,alp Cru,Acrux
1.82659963,-0.50565824,1.5,B1,251347,eps CMa,Adhara
0.24743860,1.05970666,1.6,B0,12597,gam Cas,
1.42371677,0.49929346,1.6,B8,94361,bet Tau,Elnath
1.41865139,0.11082229,1.6,B2,148916,gam Ori,Bellatrix
4.59723608,-0.64758366,1.6,B2,296488,lam Sco,Shaula
3.27757772,-0.99681328,1.6,M3,341058,gam Cru,Gacrux
1.46700806,-0.02097798,1.7,B0,175945,eps Ori,Alnilam
5.79551122,-0.81962402,1.7,B5,327928,alp Gru,Al Na'ir
2.41378722,-1.21679483,1.7,A0,357200,bet Car,Miaplacidus
2.89605871,1.07775642,1.8,K0,17705,alp UMa,Dubhe
3.37733922,0.97668367,1.8,A0,33769,eps UMa,Alioth
0.89152618,0.87024220,1.8,F5,46127,alp Per,Mirfak
4.81785973,-0.60012530,1.8,A0,297655,eps Sgr,Kaus Australis
2.13598957,-0.82618025,1.8,O0,312662,gam Vel,
1.48683871,-0.03390302,1.8,B0,400076,zet Ori,Alnitak
1.56873974,0.78448079,1.9,A0,48617,bet Aur,Menkalinan
3.61082689,0.86067978,1.9,B3,53742,eta UMa,Alkaid
1.98356647,0.55655897,1.9,A0,72938,alp Gem,Castor
1.73534633,0.28622153,1.9,A0,122774,gam Gem,Alhena
1.86920981,-0.46064838,1.9,F8,251718,del CMa,
4.61342524,-0.75045381,1.9,F0,323186,the Sco,
2.19263045,-1.03863821,1.9,K0,336856,eps Car,Avior
5.34789623,-0.99021439,1.9,B3,348537,alp Pav,Peacock
4.40112907,-1.20476112,1.9,K2,362330,alp TrA,Atria
0.66240364,1.55795225,2,F8,431,alp UMi,Polaris
0.55489856,0.40949622,2,K2,91373,alp Ari,Hamal
0.60801351,-0.05197149,2,M5,184482,,
2.47656744,-0.15112199,2,K2,192393,alp Hya,Alphard
0.19019521,-0.31392568,2,K0,209214,bet Cet,Diphda (Deneb Kaitos)
1.66984150,-0.31339020,2,B1,217099,bet CMa,Mirzam
4.95352977,-0.45896453,2,B3,269078,sig Sgr,Nunki
2.28944749,-0.95484267,2,A0,337198,,
3.88643707,1.29425753,2.1,K5,8758,bet UMi,Kochab
0.82104149,0.71481137,2.1,B8,45864,bet Per,Algol
0.30426404,0.62169573,2.1,M0,66010,bet And,Mirach
0.03659846,0.50772393,2.1,A0,89441,alp And,Alpheratz
3.09385644,0.25433010,2.1,A2,128576,bet Leo,Denebola
4.60302054,0.21921403,2.1,A5,133563,alp Oph,Rasalhague
1.51737376,-0.16876727,2.1,B0,188455,kap Ori,Saiph
3.69434940,-0.63477639,2.1,K0,292214,the Cen,Menkent
5.94575956,-0.81829126,2.1,M3,328536,bet Gru,
0.17674731,0.98676290,2.2,K0,25578,alp Cas,Schedar
4.69758037,0.89865165,2.2,K5,36267,gam Dra,Eltanin
5.33297744,0.70261205,2.2,F8,59799,gam Cyg,Sadr
4.07834547,0.46625957,2.2,A0,104146,alp CrB,Alphecca
1.44865222,0.00522086,2.2,B0,175888,del Ori,Mintaka
2.39108478,-0.75804196,2.2,K5,313999,lam Vel,
0.04004767,1.03235827,2.3,F5,25054,bet Cas,Caph
3.50778738,0.95862878,2.3,A2,34007,zet UMa,Mizar
0.54061304,0.73879297,2.3,K0,44721,gam And,Almach
4.19024522,-0.39482275,2.3,B0,264979,del Sco,
4.40767049,-0.59853022,2.3,K0,295532,eps Sco,
2.11003412,-0.69818813,2.3,O3,312524,zet Pup,
3.82012059,-0.73579391,2.3,B3,319680,eta Cen,
3.84814324,-0.82708006,2.3,B2,319805,alp Lup,
2.43076397,-1.03454895,2.3,F0,337789,iot Car,Aspidiske
3.57743380,-0.93316447,2.3,B1,342130,eps Cen,
5.57885543,1.09232439,2.4,A5,22755,alp Cep,Alderamin
2.88782774,0.98405856,2.4,A0,32912,bet UMa,Merak
3.11467356,0.93715032,2.4,A0,33292,gam UMa,Phecda
6.03785484,0.49013742,2.4,M0,115095,bet Peg,Scheat
1.93772991,-0.51143591,2.4,B5,252311,eta CMa,Aludra
4.63597817,-0.68120244,2.4,B2,296701,kap Sco,
0.11468485,-0.73838001,2.4,K0,304876,alp Phe,Ankaa
3.32275012,-0.85450675,2.4,A0,317697,,
5.43762302,0.59289280,2.5,K0,85489,eps Cyg,Gienah Cygni
6.04215955,0.26538167,2.5,A0,142158,alp Peg,Markab
0.79534457,0.07137877,2.5,M0,146172,alp Cet,Menkar
3.64573013,-0.82533769,2.5,B2,318991,zet Cen,
2.45268414,-0.96011822,2.5,B3,337874,kap Vel,
0.50021143,0.36316820,2.6,A5,91184,bet Ari,Sheratan
2.94135211,0.35820604,2.6,A3,100996,del Leo,Zosma
4.12014691,0.11214860,2.6,K0,161854,alp Ser,Unukalhai
4.00119792,-0.16376298,2.6,B8,198424,bet Lib,Zubeneschamali
1.45180865,-0.31105771,2.6,F0,215925,alp Lep,Arneb
